budget,genres,homepage,popularity,production_companies,production_countries,runtime,spoken_languages,vote_average,vote_count,lang_english,year,holiday,revenue
14000000,1,0,1.820419,3,1,99,1,4.6,9,1,1995,0,5780000
60000000,2,0,7.490247,5,1,100,1,5.6,217,1,1995,0,104324083
20000000,2,0,9.715639,2,1,103,1,6.5,168,1,1995,0,50012507
175000000,2,0,16.885184,4,1,135,3,5.9,1017,1,1995,0,264218220
2800000,1,0,2.486073,3,2,135,1,6.7,35,0,1994,1,2616503
2500000,2,0,11.304979,2,3,105,3,7.7,984,1,1995,0,5535405
10000000,1,0,6.638116,1,1,89,3,6.2,464,1,1995,0,26488734
21000000,2,0,3.030309,5,2,115,1,6.3,48,1,1995,0,23450000
27000,1,1,10.513367,2,1,92,1,7.4,769,1,1994,0,3151130
25000000,3,0,7.438934,2,1,97,1,6.3,184,1,1994,1,22200000
55000000,5,0,11.812244,2,1,123,1,5.9,217,1,1994,1,214015089
16000000,1,0,9.844558,2,1,107,1,6.5,1894,1,1994,1,247275374
18000000,3,0,11.720358,1,1,127,1,7.3,639,1,1994,0,5887457
15000000,2,0,8.182165,1,1,103,1,5,24,1,1995,0,12201255
700000,1,0,9.47666,2,1,171,1,7.7,91,1,1994,0,7830611
5000000,2,1,9.438042,4,1,99,1,6.9,299,1,1994,0,3049135
10500000,2,0,2.688562,2,0,113,2,6,17,1,1995,0,26325256
60000000,2,0,11.970205,1,1,123,2,7.2,1558,1,1994,1,223664608
14000000,2,0,1.596058,2,1,139,1,5.2,10,1,1995,0,2474000
60000000,3,0,6.710215,2,1,109,1,4.7,381,1,1994,1,37000000
11000000,3,1,42.149697,2,1,121,1,8.1,6778,1,1977,1,775398007
2000000,2,1,4.126083,2,1,105,2,6.6,70,0,1992,1,21665468
30000000,4,0,12.199047,3,1,133,2,7.2,636,1,1994,1,160638883
17000000,1,0,7.698526,1,1,106,1,6.4,28,1,1995,0,7603766
45000000,4,0,14.287753,2,3,123,1,6.1,272,1,1994,1,112006296
6,2,0,1.137266,1,1,95,1,5.6,7,1,1995,0,5
31000000,2,0,5.930957,3,1,112,1,6.1,128,1,1994,1,106683817
34000000,3,0,11.226856,6,1,119,3,6.9,927,1,1994,0,50282766
50000000,4,0,13.676444,4,1,127,3,6.4,522,1,1995,0,189859560
16000000,3,0,20.477329,2,2,110,1,8.2,4293,0,1994,0,45284974
11000000,3,0,1.433544,1,1,113,1,6.6,9,1,1995,1,2832826
8000000,2,0,140.950236,3,1,154,3,8.3,8670,1,1994,0,213928762
400000,2,0,1.638622,1,1,105,2,6.1,9,0,1992,0,152322
32000000,2,0,7.54701,1,2,107,1,6.2,431,1,1995,0,18552460
22000000,2,0,3.395867,3,1,108,1,6.4,7,0,1995,0,12400000
15000000,2,1,6.259433,1,1,133,5,5.3,33,1,1994,1,11300653
35000000,1,1,8.910462,1,1,89,1,6.5,251,1,1994,1,9771658
45000000,2,0,10.388183,3,2,110,1,5.5,317,1,1994,1,170362582
55000000,3,0,13.328924,3,2,121,3,6.8,942,1,1994,1,196567262
22000000,4,0,9.665424,2,1,97,1,6.3,501,1,1994,1,189833357
25000000,2,0,51.645403,2,1,142,1,8.5,8358,1,1994,0,28341469
25000000,4,0,7.602087,1,1,98,1,5.5,140,1,1995,0,4064495
38000000,4,0,8.105708,1,1,118,1,6.4,461,1,1994,1,120000000
6000000,3,0,2.86007,2,1,98,1,5.4,33,1,1995,1,12000000
11000000,2,0,10.3919,1,1,118,1,7.5,943,1,1993,1,10032765
30000000,4,0,5.188399,1,1,106,1,5.4,163,1,1995,0,24048000
17000000,3,0,15.783615,2,1,103,1,6.5,340,1,1995,1,182057016
3000000,3,0,5.254847,3,2,106,1,6.9,104,1,1994,0,15119639
15000000,2,0,11.247957,2,1,86,1,6.4,1684,1,1994,0,107217396
5000000,3,0,11.298195,6,3,139,2,7,115,1,1992,0,1862805
62000000,3,0,7.513245,2,1,141,1,6.4,390,1,1994,0,215887717
45000000,4,0,15.263829,3,1,119,1,6.4,287,1,1994,0,117615211
15000000,3,0,15.799336,5,1,102,1,7.3,980,1,1994,1,94000000
46000000,3,0,15.019586,3,1,91,1,5,559,1,1994,1,341631208
